Linha,Categoria,Produto,Sabor,Peso,Preco_Atual,Preco_5OFF,Desconto_Percent,Preco_por_kg,Ean_Cor
Quatree Supreme,Cão,Cão Adulto RMG,"Frango com batata-doce, brócolis e maçã",15kg,275.50,262.00,4.9,17.47,#F57C00
Quatree Supreme,Cão,Cão Adulto RMG,"Frango com batata-doce, brócolis e maçã",20kg,355.90,338.50,4.9,16.93,#F57C00
Quatree Supreme,Cão,Cão Adulto RMG,"Frango com batata-doce, brócolis e maçã",Granel,18.90,18.00,4.8,18.00,#F57C00
Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",1kg,36.90,35.50,3.8,35.50,#1976D2
Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",2.5kg,84.90,81.00,4.6,32.40,#1976D2
Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",10.1kg,199.90,190.00,5.0,18.81,#1976D2
Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",15kg,280.50,267.00,4.8,17.80,#1976D2
Quatree Supreme,Cão,Cão Adulto RP,"Frango com batata-doce, brócolis e maçã",Granel,19.90,19.00,4.5,19.00,#1976D2
Quatree Supreme,Cão,Cão Filhote RMG,"Frango com batata-doce, brócolis e maçã",10.1kg,196.90,187.50,4.8,18.56,#7CB342
Quatree Supreme,Cão,Cão Filhote RMG,"Frango com batata-doce, brócolis e maçã",15kg,296.90,282.50,4.9,18.83,#7CB342
Quatree Supreme,Cão,Cão Filhote RMG,"Frango com batata-doce, brócolis e maçã",Granel,19.90,19.00,4.5,19.00,#7CB342
Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",1kg,38.40,36.50,5.0,36.50,#00ACC1
Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",2.5kg,86.90,82.50,5.1,33.00,#00ACC1
Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",10.1kg,204.90,195.00,4.8,19.31,#00ACC1
Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",15kg,292.90,278.50,4.9,18.57,#00ACC1
Quatree Supreme,Cão,Cão Filhote RP,"Frango com batata-doce, brócolis e maçã",Granel,19.90,19.00,4.5,19.00,#00ACC1
Quatree Supreme,Cão,Cão Sênior +7 RMG,"Cordeiro e frango com linhaça e chá verde",15kg,288.90,274.50,5.0,18.30,#388E3C
